common_norm	common_display	scientific
rana amarilla y listas negras	Rana Amarilla Y Listas Negras	Pristimantis dorsopictus
rana andina de cannatella	Rana Andina de Cannatella	Hypodactylus lucida
rana andina de jahn	Rana Andina De Jahn	Hyloscirtus jahni
rana andina del tama	Rana Andina Del Tama	Hyloscirtus lascinius
rana arborea de espolones	Rana Arborea De Espolones	Hypsiboas calcaratus
rana arborea de flancos negros	rana arborea de flancos negros	Boana nigra
rana arborea de ojos cafes	rana arbórea de ojos cafés	Nyctimantis rugiceps
rana arborea del yasuni	Rana arbórea del Yasuní	Boana ventrimaculata
rana arborea meridional	Rana Arborea Meridional	Hypsiboas raniceps
rana arboricola	Rana Arborícola	Agalychnis callidryas
rana arboricola cabeza de casco	Rana Arborícola Cabeza De Casco	Trachycephalus jordani
rana arboricola comun	Rana Arboricola Comun	Pristimantis factiosus
rana arboricola de la mixteca	Rana arborícola de la Mixteca	Charadrahyla sakbah
rana arboricula de bromelia	Rana Arborícula De Bromelia	Bromeliohyla bromeliacia
rana arlequin de cerro sapo	Rana arlequín de Cerro Sapo	Atelopus certus
rana arlequin de chiriqui	Rana Arlequín de Chiriqui	Atelopus chiriquiensis
rana arlequin de pirre	Rana Arlequín de Pirre	Atelopus glyphus
rana arlequin limosa	Rana Arlequín Limosa	Atelopus limosus
rana arlequin variable	Rana Arlequin Variable	Atelopus varius
rana arroyera chamula	Rana arroyera chamula	Duellmanohyla chamulae
rana bermeja	Rana Bermeja	Rana temporaria
rana blanca	Rana Blanca	Hypsiboas crepitans
rana boyadora	Rana Boyadora	Pseudis minuta
rana buho de canelos	Rana búho de Canelos	Tepuihyla tuberculosa
rana cabezona	Rana Cabezona	Strabomantis necopinus
rana campanita	Rana Campanita	Pristimantis cordovae
rana camuflada	Rana Camuflada	Pristimantis cabrerai|Pristimantis fetosus|Pristimantis lichenoides|Pristimantis veletis
rana cantora	Rana Cantora	Hypsiboas crepitans
rana capina	Rana Capina	Hypsiboas crepitans
rana chilena	Rana Chilena	Calyptocephalella gayi
rana cohete awa	Rana cohete awa	Hyloxalus awa
rana cohete de bocage	Rana cohete de Bocage	Hyloxalus bocagei
rana cohete de chimbo	Rana cohete de Chimbo	Hyloxalus infraguttatus
rana cohete de cotopaxi	Rana cohete de Cotopaxi	Hyloxalus fallax
rana cohete de edwards	Rana cohete de Edwards	Hyloxalus anthracinus
rana cohete de la espada	Rana cohete de la Espada	Hyloxalus pulchellus
rana cohete de lehmann	Rana cohete de Lehmann	Hyloxalus lehmanni
rana cohete de pailas	Rana cohete de Pailas	Hyloxalus peculiaris
rana cohete de palanda	Rana cohete de Palanda	Hyloxalus cevallosi
rana cohete de pastaza	Rana Cohete de Pastaza	Hyloxalus italoi
rana cohete de quito	Rana cohete de Quito	Colostethus jacobuspetersi
rana cohete de san vicente	Rana cohete de San Vicente	Hyloxalus pumilus
rana cohete de toachi	Rana cohete de Toachi	Hyloxalus toachi
rana cohete de urrao	Rana cohete de Urrao	Hyloxalus breviquartus
rana cohete de yapitya	Rana cohete de Yapitya	Hyloxalus exasperatus
rana cohete del puyo	Rana cohete del Puyo	Hyloxalus maculosus
rana cohete del rio negro	Rana cohete del río Negro	Hyloxalus marmoreoventris
rana cohete del rio piuntza	Rana cohete del río Piuntza	Hyloxalus mystax
rana cohete maquipucuna	Rana cohete Maquipucuna	Hyloxalus maquipucuna
rana cohete shuar	Rana cohete shuar	Hyloxalus shuar
rana comun	Rana Común	Pelophylax perezi
rana comun de celdillas	Rana Comun De Celdillas	Pipa pipa
rana comun del rio de dixon	Rana Común del Río de Dixon	Lithobates bwana
rana conejera	rana conejera	Leptodactylus cunicularius
rana coralina	Rana Coralina	Leptodactylus laticeps
rana cornuda	Rana Cornuda	Ceratophrys cornuta
rana criolla	Rana Criolla	Leptodactylus chaquensis|Leptodactylus latrans
rana dardo venenosa verde y negra	Rana Dardo Venenosa Verde y Negra	Dendrobates auratus
rana de antifaz	Rana de antifaz	Batrachyla taeniata
rana de cabeza triangular bandeada	Rana de cabeza triangular bandeada	Hemiphractus fasciatus
rana de cabeza triangular cornuda incubadora	Rana de cabeza triangular cornuda incubadora	Hemiphractus scutatus
rana de cabeza triangular de ecuador	Rana de cabeza triangular de Ecuador	Hemiphractus bubalus
rana de cafetal	Rana de Cafetal	Agalychnis annae
rana de cascada	Rana De Cascada	Lithobates pustulosus
rana de casco arborea	Rana de casco arbórea	Osteocephalus planiceps
rana de casco bandeada	rana de casco bandeada	Hemiphractus fasciatus
rana de casco burlona	Rana de Casco Burlona	Osteocephalus deridens
rana de casco comun	Rana De Casco Comun	Osteocephalus taurinus
rana de casco crestada	rana de casco crestada	Hemiphractus bubalus
rana de casco de buckley	Rana De Casco De Buckley	Osteocephalus buckleyi
rana de casco de cannatella	Rana de casco de Cannatella	Osteocephalus cannatellai
rana de casco de duellman	Rana de casco de Duellman	Osteocephalus duellmani
rana de casco de festa	Rana de casco de Festa	Osteocephalus festae
rana de casco de helio	rana de casco de helio	Hemiphractus helioi
rana de casco de sarayacu	Rana de casco de Sarayacu	Osteocephalus alboguttatus
rana de casco del casiquiare	Rana De Casco Del Casiquiare	Aparasphenodon venezolanus
rana de casco del napo	Rana de casco del Napo	Osteocephalus fuscifacies
rana de casco del sangay	Rana de casco del Sangay	Osteocephalus sangay
rana de casco del yasuni	Rana de casco del Yasuní	Osteocephalus yasuni
rana de casco narizona	rana de casco narizona	Hemiphractus johnsoni|Hemiphractus proboscideus
rana de casco protecto	rana de casco protecto	Hemiphractus scutatus
rana de casco tuberculada	Rana de casco tuberculada	Trachycephalus cunauaru
rana de casco verrugosa	Rana de casco verrugosa	Osteocephalus verruciger
rana de celdillas guayanesa	Rana De Celdillas Guayanesa	Pipa arrabali
rana de celdillas zuliana	Rana De Celdillas Zuliana	Pipa parva
rana de charco	Rana De Charco	Dendropsophus carnifex
rana de corona	Rana De Corona	Triprion spinosus
rana de cristal	Rana de Cristal	Nymphargus griffithsi
rana de cristal audaz	Rana de Cristal Audaz	Espadarana audax
rana de cristal de amelie	Rana de Cristal de Amélie	Teratohyla amelie
rana de cristal de anillos	Rana de Cristal de Anillos	Nymphargus ignotus
rana de cristal de espina curva	Rana de cristal de espina curva	Espadarana audax
rana de cristal de las gralarias	Rana de Cristal de Las Gralarias	Nymphargus lasgralarias
rana de cristal del peru	Rana de Cristal del Perú	Nymphargus chancas
rana de cristal orense	Rana de Cristal Orense	Nymphargus grandisonae orense
rana de dedos delgados de myers	Rana De Dedos Delgados De Myers	Leptodactylus myersi
rana de dedos delgados de para	Rana de dedos delgados de Para	Leptodactylus paraensis
rana de dedos delgados de savage	Rana de dedos delgados de Savage	Leptodactylus savagei
rana de espolon	Rana De Espolon	Pristimantis thectopternus
rana de espuma de perez	Rana de Espuma de Pérez	Edalorhina perezi
rana de flancos blancos	Rana De Flancos Blancos	Hypsiboas albomarginatus
rana de garganta manchada	Rana De Garganta Manchada	Pristimantis fallax
rana de hoja amazonica	Rana de hoja amazónica	Cruziohyla calcarifer
rana de hoja de ecuador	Rana de Hoja de Ecuador	Noblella lochites
rana de hojarasca	Rana De Hojarasca	Craugastor andi|Craugastor angelicus
rana de hojarasca boliviana	Rana de hojarasca boliviana	Hamptophryne boliviana
rana de hojarasca de hocico punton	Rana de hojarasca de hocico puntón	Chiasmocleis bassleri
rana de hojarasca de santa cecilia	Rana de hojarasca de Santa Cecilia	Chiasmocleis anatipes
rana de hojarasca del rio pastaza	Rana de hojarasca del río Pastaza	Chiasmocleis ventrimaculata
rana de ingle roja	Rana De Ingle Roja	Pristimantis erythropleura
rana de ingles negras y amarillas	Rana De Ingles Negras Y Amarillas	Pristimantis penelopus
rana de ingles negras y blancas	Rana De Ingles Negras Y Blancas	Pristimantis maculosus
rana de las bromelias	Rana De Las Bromelias	Pristimantis boulengeri
rana de lema	Rana De Lema	Hypsiboas lemai
rana de lluvia de quevedo	Rana de lluvia de Quevedo	Scinax sugillatus
rana de lluvia polizona	Rana de lluvia polizona	Scinax quinquefasciatus
rana de lluvia rosada	Rana de Lluvia Rosada	Pristimantis roseus
rana de lluvia tsachila	Rana de lluvia Tsáchila	Scinax tsachila
rana de los torrentes	Rana De Los Torrentes	Pristimantis torrenticola
rana de los viscacheras	Rana De Los Viscacheras	Leptodactylus laticeps
rana de loveridge	Rana De Loveridge	Myersiohyla loveridgei
rana de moore	Rana De Moore	Lithobates johni
rana de muslos naranja	Rana De Muslos Naranja	Pristimantis permixtus
rana de ojos negros	Rana de ojos negros	Agalychnis moreletii
rana de quebrada	Rana De Quebrada	Hyloscirtus phyllognathus
rana de quebrada de barriga amarilla	Rana de quebrada de barriga amarilla	Allobates flaviventris
rana de riachuelo de pernas largas	Rana De Riachuelo De Pernas Largas	Craugastor sabrinus
rana de sierra madre-occidental	Rana De Sierra Madre-occidental	Lithobates sierramadrensis
rana de somuncura	Rana de Somuncura	Pleurodema somuncurense
rana de tlaloc	Rana De Tláloc	Lithobates tlaloci
rana de torrente atigrada	Rana de torrente atigrada	Hyloscirtus tigrinus
rana de torrente criptica	Rana de torrente críptica	Hyloscirtus criptico
rana de torrente de hillis	Rana de torrente de Hillis	Hyloscirtus hillisi
rana de torrente de mashpi	Rana de torrente de Mashpi	Hyloscirtus mashpi
rana de torrente de papallacta	Rana de torrente de Papallacta	Hyloscirtus psarolaimus
rana de torrente de pilalo	Rana de torrente de Pilaló	Hyloscirtus ptychodactylus
rana de torrente de puntos blancos	Rana de torrente de puntos blancos	Hyloscirtus albopunctulatus
rana de torrente de putumayo	Rana de torrente de Putumayo	Hyloscirtus torrenticola
rana de torrente de rio negro	Rana de Torrente de Río Negro	Hyloscirtus tolkieni
rana de torrente de roque	Rana de torrente de Roque	Hyloscirtus phyllognathus
rana de torrente de seth macfarlane	Rana de torrente de Seth MacFarlane	Hyloscirtus sethmacfarlanei
rana de torrente de tandapi	Rana de torrente de Tandapi	Hyloscirtus alytolylax
rana debigotes	Rana Debigotes	Leptodactylus mystacinus
rana dedilarga	rana dedilarga	Leptodactylus leptodactyloides
rana dedilarga con bigote	rana dedilarga con bigote	Leptodactylus mystaceus
rana dedilarga de la costa	rana dedilarga de la costa	Leptodactylus peritoaktites
rana dedilarga de labio grueso	rana dedilarga de labio grueso	Leptodactylus labrosus
rana dedilarga de peters	rana dedilarga de Peters	Leptodactylus petersii
rana dedilarga dorsinegra	rana dedilarga dorsinegra	Leptodactylus melanonotus
rana dedilarga popoco	rana dedilarga Popoco	Leptodactylus stenodema
rana del bosque verrugosa	Rana Del Bosque Verrugosa	Craugastor psephosypharus
rana del challhuaco	Rana del Challhuaco	Atelognathus nitoi
rana del lago titicaca	Rana del Lago Titicaca	Telmatobius culeus
rana diminuta	Rana Diminuta	Pristimantis parectatus
rana dorada	Rana Dorada	Atelopus zeteki
rana duende de bosque	Rana Duende de Bosque	Pristimantis molybrignus
rana duende juancho	Rana Duende Juancho	Pristimantis juanchoi
rana fantasma	Rana Fantasma	Sphaenorhynchus lacteus
rana fisgona marmoleada	Rana fisgona marmoleada	Eleutherodactylus saxatilis
rana geografica	Rana Geografica	Hypsiboas geographicus
rana gigante del lago titicaca	Rana Gigante del Lago Titicaca	Telmatobius culeus
rana grande chilena	Rana Grande Chilena	Calyptocephalella gayi
rana granosa	Rana Granosa	Hypsiboas cinerascens
rana guerrerense	Rana Guerrerense	Lithobates omiltemanus
rana kokoi amarilla	Rana Kokoi Amarilla	Phyllobates bicolor
rana lacustre de leticia	Rana lacustre de Leticia	Sphaenorhynchus dorisae
rana ladrona adornada	Rana ladrona adornada	Craugastor decoratus
rana ladrona condor	Rana Ladrona Cóndor	Pristimantis condor
rana ladrona criptica	Rana Ladrona Críptica	Pristimantis cryptomelas
rana ladrona de bromelias	Rana Ladrona de bromelias	Pristimantis bromeliaceus
rana ladrona de espada	Rana Ladrona de Espada	Pristimantis galdi
rana ladrona de huancabamba	Rana Ladrona de Huancabamba”	Pristimantis sternothylax
rana ladrona de piura	Rana Ladrona de Piura	Pristimantis citriogaster|Pristimantis colodactylus
rana ladrona de schulte	Rana Ladrona de Schulte	Pristimantis schultei
rana lanceolada comun	Rana Lanceolada Comun	Hypsiboas lanciformis
rana lanceolada meridional	Rana Lanceolada Meridional	Hypsiboas multifasciatus
rana lechera amazonica	Rana Lechera Amazonica	Trachycephalus resinifictrix
rana lechera de pastaza	Rana lechera de Pastaza	Trachycephalus macrotis
rana lechera del choco	Rana lechera del Chocó	Trachycephalus quadrangulum
rana lemur	Rana Lemur	Phyllomedusa tarsius
rana lemur de flancos rojos	Rana Lemur De Flancos Rojos	Phyllomedusa hypochondrialis
rana lemur gigante	Rana Lemur Gigante	Phyllomedusa bicolor
rana lemur naranja	Rana Lemur Naranja	Phyllomedusa tomopterna
rana leopardo	Rana Leopardo	Lithobates berlandieri
rana maki	Rana Maki	Agalychnis moreletii
rana manchada de somuncura	Rana Manchada de Somuncura	Atelognathus reverberii
rana marmorea	Rana Marmorea	Dendropsophus marmoratus
rana marsupial	Rana Marsupial	Gastrotheca gracilis|Gastrotheca longipes|Gastrotheca monticola|Gastrotheca ovifera|Gastrotheca testudinea
rana marsupial andina	Rana Marsupial Andina	Gastrotheca riobambae
rana marsupial bromelicola	Rana Marsupial Bromelícola	Gastrotheca plumbea
rana marsupial comun	Rana Marsupial Comun	Gastrotheca ovifera
rana marsupial cornuda	Rana Marsupial Cornuda	Gastrotheca walkeri
rana marsupial de la banderita	Rana marsupial de la Banderita	Gastrotheca gracilis
rana marsupial de niceforo	Rana Marsupial De Niceforo	Gastrotheca nicefori
rana marsupial de pies largos	rana marsupial de pies largos	Gastrotheca longipes
rana marsupial de williams	Rana Marsupial De Williams	Gastrotheca williamsoni
rana marsupial del sumaco	Rana marsupial del Sumaco	Gastrotheca testudinea
rana marsupial del tama	Rana Marsupial Del Tama	Gastrotheca helenae
rana marsupial dentata	rana marsupial dentata	Gastrotheca guentheri
rana marsupial tortuga	rana marsupial tortuga	Gastrotheca testudinea
rana marsupial tucumana	rana marsupial tucumana	Gastrotheca gracilis
rana minuscula	Rana Minuscula	Pristimantis suetus
rana mono amazonica	rana mono Amazónica	Agalychnis hulli
rana mono de buckley	Rana mono de Buckley	Agalychnis buckleyi
rana mono del rio salado	Rana mono del río Salado	Phyllomedusa perinesos
rana morelet	Rana Morelet	Agalychnis moreletii
rana mususas	Rana Mususas	Pristimantis museosus
rana narigona	Rana Narigona	Rhinoderma darwinii
rana neovolcanica	Rana Neovolcánica	Lithobates neovolcanicus
rana nodriza de boulenger	Rana nodriza de Boulenger	Epipedobates boulengeri
rana nodriza de espinosa	Rana nodriza de Espinosa	Epipedobates espinosai
rana nodriza de linea dorada	rana nodriza de línea dorada	Allobates liniaureum
rana nubular torrenticola de chical	Rana nubular torrenticola de Chical	Hyloscirtus conscientia
rana ornamentada	Rana Ornamentada	Pristimantis tribulosus
rana pata amarilla	Rana Pata Amarilla	Rana boylii
rana patilarga	Rana patilarga	Rana iberica
rana payaso	Rana Payaso	Dendropsophus bifurcus
rana pecho blanco de bilsa	Rana pecho blanco de Bilsa	Leucostethus bilsa
rana picuda	Rana Picuda	Leptodactylus fuscus|Pristimantis lemur
rana pierniamarilla	Rana Pierniamarilla	Pristimantis helvolus
rana pimienta	Rana Pimienta	Leptodactylus labyrinthicus
rana pimienta del nordeste	Rana Pimienta Del Nordeste	Leptodactylus vastus
rana pinguino	Rana Pinguino	Elachistocleis bicolor
rana pirenaica	Rana Pirenaica	Rana pyrenaica
rana platanera	rana platanera	Boana platanera|Hypsiboas crepitans|Hypsiboas pugnax
rana poblana	Rana Poblana	Lithobates pueblae
rana punteada	Rana Punteada	Hypsiboas punctatus
rana saltadora	Rana saltadora	Anomaloglossus atopoglossus
rana saltarina de mera	Rana saltarina de Mera	Allobates fratisenescus
rana saltarina trilineada	Rana saltarina trilineada	Allobates trilineatus
rana saltona	Rana saltona	Anomaloglossus atopoglossus
rana silbador	Rana Silbador	Leptodactylus fuscus
rana stefania de brewer	Rana Stefania De Brewer	Stefania breweri
rana stefania de jaua	Rana Stefania De Jaua	Stefania percristata
rana stefania de la escalera	Rana Stefania De La Escalera	Stefania scalae
rana stefania de ojos grandes	Rana Stefania De Ojos Grandes	Stefania oculosa
rana stefania de rivero	Rana Stefania De Rivero	Stefania riveroi
rana stefania de tapirapeco	Rana Stefania De Tapirapeco	Stefania tamacuarina
rana stefania del aprada-tepuy	Rana Stefania Del Aprada-tepuy	Stefania satelles
rana stefania del auyan-tepui	Rana Stefania Del Auyan-tepui	Stefania schuberti
rana stefania del duida	Rana Stefania Del Duida	Stefania goini
rana stefania del hermano gines	Rana Stefania Del Hermano Gines	Stefania ginesi
rana stefania del marahuaka	Rana Stefania Del Marahuaka	Stefania marahuaquensis
rana stefania del sarisarinama	Rana Stefania Del Sarisarinama	Stefania riae
rana surena de ecuador	Rana Sureña de Ecuador	Noblella lochites
rana surena de heyer	Rana Sureña de Heyer	Noblella heyeri
rana tablacha	Rana Tablacha	Pipa pipa
rana tarsio	Rana Tarsio	Phyllomedusa tarsius
rana tarsius septentrional	Rana Tarsius Septentrional	Phyllomedusa trinitatis
rana tepuyana de galan	Rana Tepuyana De Galan	Tepuihyla galani
rana tepuyana de labios amarillos	Rana Tepuyana De Labios Amarillos	Tepuihyla luteolabris
rana tepuyana del auyan-tepui	Rana Tepuyana Del Auyan-tepui	Tepuihyla edelcae
rana tepuyana del duida	Rana Tepuyana Del Duida	Tepuihyla aecii
rana tepuyana del ptari-tepui	Rana Tepuyana Del Ptari-tepui	Tepuihyla rimarum
rana tepuyana guayanesa	Rana Tepuyana Guayanesa	Tepuihyla rodriguezi
rana termitera de peters	Rana termitera de Peters	Leptodactylus petersii
rana ternero	Rana Ternero	Leptodactylus turimiquensis
rana terrestre	Rana Terrestre	Hypodactylus babax
rana terrestre de dedos angostos	Rana Terrestre De Dedos Angostos	Hypodactylus mantipus
rana terrestre de moti	rana terrestre de Moti	Leptodactylus stenodema
rana terrestre de muslos rojos	Rana terrestre de muslos rojos	Leptodactylus peritoaktites
rana terrestre de wagner	Rana terrestre de Wagner	Leptodactylus wagneri
rana terrestre labiosa	rana terrestre labiosa	Leptodactylus labrosus
rana toro	Rana Toro	Lithobates catesbeianus
rana tractor	Rana Tractor	Argenteohyla siemersi
rana trepadora riberena nortena	rana trepadora ribereña norteña	Sarcohyla hapsa
rana tricolor ecuatoriana	Rana Tricolor Ecuatoriana	Epipedobates anthonyi|Epipedobates tricolor
rana tungara de rand	Rana túngara de Rand	Engystomops randi
rana tungara guayaca	Rana túngara guayaca	Engystomops guayaco
rana venenosa	Rana Venenosa	Allobates zaparo|Ameerega bassleri|Ameerega cainarachi|Ameerega labialis|Ameerega macero|Ameerega parvula|Ameerega petersi|Ameerega planipaleae|Ameerega rubriventris|Ameerega silverstonei|Ameerega simulans|Excidobates captivus|Excidobates mysteriosus|Oophaga arborea|Ranitomeya fantastica|Ranitomeya imitator
rana venenosa de azuela	Rana venenosa de Azuela	Andinobates abditus
rana venenosa de yurimaguas	Rana venenosa de Yurimaguas	Ameerega hahneli
rana venenosa rojiza	Rana Venenosa Rojiza	Ranitomeya reticulata
rana verde norteafricana	Rana Verde Norteafricana	Pelophylax saharicus
rana verde verdadera	Rana Verde Verdadera	Lithobates palmipes
rana-chirriadora anteojuda	Rana-chirriadora Anteojuda	Eleutherodactylus interorbitalis
rana-chirriadora de dennis	Rana-chirriadora De Dennis	Eleutherodactylus dennisi
rana-chirriadora de matuda	Rana-chirriadora De Matuda	Craugastor matudai
rana-chirriadora dedos chatos	Rana-chirriadora Dedos Chatos	Eleutherodactylus modestus
rana-chirriadora del nevado de colima	Rana-chirriadora Del Nevado De Colima	Eleutherodactylus nivicolimae
rana-chirriadora palida	Rana-chirriadora Pálida	Eleutherodactylus pallidus
rana-chirrionera menor	Rana-chirrionera Menor	Eleutherodactylus verruculatus
rana-chirrionera orejona	Rana-chirrionera Orejona	Eleutherodactylus verrucipes
rana-de arbol acuatica	Rana-de Arbol Acuática	Plectrohyla crassa
rana-de arbol de bosque mesofilo	Rana-de Arbol De Bosque Mesófilo	Megastomatohyla nubicola
rana-de arbol de bromelia-mayor	Rana-de Arbol De Bromelia-mayor	Bromeliohyla dendroscarta
rana-de arbol de bromelia-menor	Rana-de Arbol De Bromelia-menor	Plectrohyla arborescandens
rana-de arbol de espolon	Rana-de Arbol De Espolón	Charadrahyla trux
rana-de arbol de godman	Rana-de Arbol De Godman	Tlalocohyla godmani
rana-de arbol de hazel	Rana-de Arbol De Hazel	Plectrohyla hazelae
rana-de arbol de juanita	Rana-de Arbol De Juanita	Exerodonta juanitae
rana-de arbol de pinar	Rana-de Arbol De Pinar	Exerodonta pinorum
rana-de arbol de pliegue-mexicana	Rana-de Arbol De Pliegue-mexicana	Plectrohyla bistincta
rana-de arbol de pliegue-oaxaquena	Rana-de Arbol De Pliegue-oaxaqueña	Ecnomiohyla echinata
rana-de arbol de robert	Rana-de Arbol De Robert	Plectrohyla robertsorum
rana-de arbol de san martin	Rana-de Arbol De San Martin	Ecnomiohyla valancifer
rana-de arbol de schultze	Rana-de Arbol De Schultze	Ptychohyla leonhardschultzei
rana-de arbol de sierra de juarez	Rana-de Arbol De Sierra De Juárez	Plectrohyla sabrina
rana-de arbol de sierra madre del sur	Rana-de Arbol De Sierra Madre Del Sur	Plectrohyla cembra
rana-de arbol de taylor	Rana-de Arbol De Taylor	Dendropsophus sartori
rana-de arbol de tierras altas	Rana-de Arbol De Tierras Altas	Smilisca dentata
rana-de arbol dorada	Rana-de Arbol Dorada	Plectrohyla chryses
rana-de arbol esmeralda	Rana-de Arbol Esmeralda	Exerodonta smaragdina
rana-de arbol hada	Rana-de Arbol Hada	Charadrahyla chaneque
rana-de arbol hocico aquillado	Rana-de Arbol Hocico Aquillado	Plectrohyla mykter
rana-de arbol jarocha	Rana-de Árbol Jarocha	Charadrahyla taeniopus
rana-de arbol jaspeada	Rana-de Arbol Jaspeada	Megastomatohyla mixomaculata
rana-de arbol moteada	Rana-de Árbol Moteada	Plectrohyla thorectes
rana-de arbol ojo negro	Rana-de Arbol Ojo Negro	Exerodonta melanomma
rana-de arbol ojos azules	Rana-de Arbol Ojos Azules	Plectrohyla cyanomma
rana-de arbol plegada o surcada	Rana-de Arbol Plegada O Surcada	Hyla plicata
rana-de arbol poblana	Rana-de Arbol Poblana	Plectrohyla charadricola
rana-de arbol semiacuatica	Rana-de Arbol Semiacuática	Plectrohyla pachyderma
rana-de arbol vientre amarilla	Rana-de Arbol Vientre Amarilla	Charadrahyla altipotens
rana-de chiricahua	Rana-de Chiricahua	Lithobates chiricahuensis
rana-de coro del pacifico	Rana-de coro del pacífico	Pseudacris regilla
rana-de patzcuaro	Rana-de Pátzcuaro	Lithobates dunni
rana-de-dedos-delgados-de-coxas-vermelhas	Rana-de-dedos-delgados-de-coxas-vermelhas	Leptodactylus rhodomerus
rana-dedos delgados labios anchos	Rana-dedos Delgados Labios Anchos	Plectrohyla pycnochila
rana-dedos delgados ojona	Rana-dedos Delgados Ojona	Plectrohyla lacertosa
rana-fisgona cafe	Rana-fisgona Café	Eleutherodactylus maurus
rana-fisgona de patzcuaro	Rana-fisgona De Pátzcuaro	Eleutherodactylus angustidigitorum
rana-fisgona flautera	Rana-fisgona Flautera	Eleutherodactylus syristes
rana-fisgona labios blancos	Rana-fisgona Labios Blancos	Eleutherodactylus dixoni|Eleutherodactylus grandis
rana-fisgona roja	Rana-fisgona Roja	Eleutherodactylus rufescens
rana-ladradora tarahumara	Rana-ladradora Tarahumara	Craugastor tarahumaraensis
rana-ladrona de berkenbusch	Rana-ladrona De Berkenbusch	Craugastor berkenbuschii
rana-ladrona de omilteme	Rana-ladrona De Omilteme	Craugastor omiltemanus
rana-ladrona de san martin	Rana-ladrona De San Martín	Craugastor megalotympanum
rana-ladrona de savage	Rana-ladrona De Savage	Craugastor uno
rana-ladrona de sierra de juarez	Rana-ladrona De Sierra De Juárez	Craugastor polymniae
rana-ladrona de taylor	Rana-ladrona De Taylor	Craugastor taylori
rana-ladrona espatulada	Rana-ladrona Espatulada	Craugastor spatulatus
rana-ladrona gris	Rana-ladrona Gris	Craugastor glaucus
rana-ladrona guerrerense	Rana-ladrona Guerrerense	Craugastor guerreroensis
rana-ladrona selvatica	Rana-ladrona Selvática	Craugastor silvicola
rana-ladrona silbadora	Rana-ladrona Silbadora	Eleutherodactylus teretistes
rana-ladrona tamaulipeca	Rana-ladrona Tamaulipeca	Craugastor batrachylus
rana-ladrona yucateca	Rana-ladrona Yucateca	Craugastor yucatanensis
rana-sapo tepuyana de colonnello	Rana-sapo Tepuyana De Colonnello	Dischidodactylus colonnelloi
rana-sapo tepuyana del duida	Rana-sapo Tepuyana Del Duida	Dischidodactylus duidensis
ranas verdes	Ranas verdes	Pelophylax
ranconcha	Ranconcha	Acrostichum aureum
randia malgache	Randia malgache	Randia pseudozosterops
ranisapo	Ranisapo	Fowlerichthys avalonis|Fowlerichthys ocellatus
ranisapo antenado	Ranisapo antenado	Antennarius avalonis|Fowlerichthys avalonis
ranisapo ceboso	Ranisapo Ceboso	Antennarius multiocellatus
ranisapo de rabo listado	Ranisapo de Rabo Listado	Antennatus strigatus
ranisapo estriado	Ranisapo Estriado	Antennarius striatus
ranisapo ocelado	Ranisapo Ocelado	Fowlerichthys avalonis
ranisapo pescador	Ranisapo Pescador	Fowlerichthys ocellatus
ranisapo rabo listado	Ranisapo Rabo Listado	Antennatus strigatus
ranisapo sangron	Ranisapo Sangrón	Antennatus sanguineus
ranisapo sanguineo	Ranisapo Sanguineo	Antennatus sanguineus
ranita	Ranita	Tlalocohyla picta
ranita adornada	Ranita Adornada	Hypsiboas ornatissimus
ranita amarilla comun	Ranita Amarilla Comun	Dendropsophus minutus
ranita arlequin de maracay	Ranita Arlequín de Maracay	Atelopus vogli
ranita caricorta	Ranita Caricorta	Dendropsophus parviceps
ranita de aleman	Ranita De Aleman	Hypsiboas alemani
ranita de battersby	Ranita De Battersby	Dendropsophus battersbyi
ranita de baumgardner	Ranita De Baumgardner	Scinax baumgardneri
ranita de boeseman	Ranita De Boeseman	Scinax boesemani
ranita de cristal	Ranita De Cristal	Cochranella euknemos|Cochranella granulosa|Espadarana prosoblepon|Hyalinobatrachium chirripoi|Hyalinobatrachium colymbiphyllum|Hyalinobatrachium vireovittatum
ranita de cristal de altura	Ranita De Cristal De Altura	Centrolene altitudinale
ranita de cristal de durant	Ranita De Cristal De Durant	Hyalinobatrachium duranti
ranita de cristal de jaspe	Ranita De Cristal De Jaspe	Hyalinobatrachium iaspidiense
ranita de cristal de rivero	Ranita De Cristal De Rivero	Cochranella riveroi
ranita de cristal de taylor	Ranita De Cristal De Taylor	Hyalinobatrachium taylori
ranita de cristal del duida	Ranita De Cristal Del Duida	Cochranella duidaeana
ranita de cristal fragil	Ranita De Cristal Fragil	Hyalinobatrachium fragile
ranita de cristal oriental	Ranita De Cristal Oriental	Hyalinobatrachium orientale
ranita de cristal palida	Ranita De Cristal Palida	Hyalinobatrachium pallidum
ranita de cristal venezolana	Ranita De Cristal Venezolana	Centrolene venezuelense
ranita de dana	Ranita De Dana	Scinax danae
ranita de darwin	Ranita de Darwin	Rhinoderma darwinii|Rhinoderma rufum
ranita de darwin del norte	Ranita de Darwin del Norte	Rhinoderma rufum
ranita de hobbs	Ranita De Hobbs	Hypsiboas hobbsi
ranita de inparques	Ranita De Inparques	Myersiohyla inparquesi
ranita de kennedy	Ranita De Kennedy	Scinax kennedyi
ranita de la cordillera yanachaga	Ranita De La Cordillera Yanachaga	Phrynopus bracki
ranita de labio blanco	Ranita De Labio Blanco	Leptodactylus albilabris
ranita de los queules	Ranita de los Queules	Eupsophus queulensis
