common_norm	common_display	scientific
aguaji	Aguaji	Mycteroperca bonaci|Mycteroperca microlepis
aguapuro	Aguapuro	Polydactylus approximans
aguara guazu	Aguará guazú	Chrysocyon|Chrysocyon brachyurus
aguatero australiano	Aguatero australiano	Rostratula australis
aguavina	Aguavina	Diplectrum radiale
aguila arpia	Aguila Arpía	Harpia harpyja
aguila audaz	Águila audaz	Aquila audax
aguila azor filipina	Águila azor filipina	Nisaetus philippensis
aguila blanca	Aguila Blanca	Pseudastur polionotus
aguila blanquinegra	Aguila Blanquinegra	Spizaetus melanoleucus
aguila cafre	Águila cafre	Aquila verreauxii
aguila calva	Águila calva	Haliaeetus leucocephalus
aguila calzada	Águila calzada	Hieraaetus pennatus
aguila castana	Aguila Castaña	Spizaetus isidori
aguila chica	Águila chica	Hieraaetus morphnoides
aguila congolena	Águila congoleña	Aquila africana
aguila coronada	Águila coronada	Stephanoaetus coronatus
aguila crestada	Aguila Crestada	Morphnus guianensis
aguila crestilarga	Águila crestilarga	Lophaetus occipitalis
aguila crestuda negra	Águila crestuda negra	Spizaetus tyrannus
aguila crestuda real	Águila crestuda real	Spizaetus ornatus
aguila culebrera de nicobar mayor	Águila Culebrera de Nicobar Mayor	Spilornis klossi
aguila de ayres	Águila de Ayres	Hieraaetus ayresii
aguila de azara	Águila de Azara	Buteogallus coronatus
aguila de celebes	Águila de Célebes	Nisaetus lanceolatus
aguila de copete	Aguila de Copete	Spizaetus isidori
aguila de flores	Águila de Flores	Nisaetus floris
aguila de java	Águila de Java	Nisaetus bartelsi
aguila de pinsker	Águila de Pinsker	Nisaetus pinskeri
aguila de wahlberg	Águila de Wahlberg	Hieraaetus wahlbergi
aguila de wallace	Águila de Wallace	Nisaetus nanus
aguila esteparia	Águila esteparia	Aquila nipalensis
aguila estriada	Águila estriada	Aquila spilogaster
aguila filipina	Águila filipina	Nisaetus philippensis
aguila galana	Águila galana	Spizaetus ornatus
aguila harpia	Aguila Harpía	Harpia harpyja
aguila imperial	Aguila Imperial	Aquila heliaca
aguila imperial iberica	Aguila Imperial Ibérica	Aquila adalberti
aguila imperial oriental	Aguila Imperial Oriental	Aquila heliaca
aguila india	Águila india	Clanga hastata
aguila indonesia	Águila indonesia	Nisaetus alboniger
aguila marcial	Águila marcial	Polemaetus bellicosus
aguila milana	Águila milana	Ictinaetus malaiensis
aguila moluquena	Aguila Moluqueña	Aquila gurneyi
aguila monera	Águila monera	Morphnus guianensis|Pithecophaga jefferyi
aguila montanesa	Águila montañesa	Nisaetus nipalensis
